date,open,high,low,close,volume,adjusted_close,change_percent,avg_vol_20d
2017-08-21,157.5,157.89,155.1101,157.21,26368529,37.0807,-0.18,113879900.8
2017-08-22,158.23,160.0,158.02,159.78,21604590,37.6868,1.63,114430032.8
2017-08-23,159.07,160.47,158.88,159.98,19399080,37.734,0.13,115153658.8
2017-08-24,160.43,160.74,158.55,159.27,19818920,37.5666,-0.44,112622174.8
2017-08-25,159.65,160.56,159.27,159.86,25480061,37.7057,0.37,114275457.0
2017-08-28,160.14,162.0,159.93,161.47,25965971,38.0855,1.01,115499467.2
2017-08-29,160.1,163.12,160.0,162.91,29516910,38.4251,0.89,114329119.6
2017-08-30,163.8,163.89,162.61,163.35,27269580,38.5289,0.27,105795676.2
2017-08-31,163.64,164.52,163.48,164.0,26785100,38.6822,0.4,105733236.0
2017-09-01,164.8,164.94,163.63,164.05,16591051,38.694,0.03,104939476.2
2017-09-05,163.75,164.25,160.56,162.08,29536311,38.2293,-1.2,106472674.4
2017-09-06,162.71,162.99,160.52,161.91,21651730,38.1892,-0.1,103561840.8
2017-09-07,162.09,162.24,160.36,161.26,21928500,38.0359,-0.4,102721235.0
2017-09-08,160.86,161.15,158.53,158.63,28611539,37.4156,-1.63,100282688.2
2017-09-11,160.5,162.05,159.89,161.5,31580801,38.0925,1.81,101347428.4
2017-09-12,162.61,163.96,158.77,160.86,71714047,37.9416,-0.4,111265691.8
2017-09-13,159.87,159.96,157.91,159.65,44907359,37.6562,-0.75,114354065.6
2017-09-14,158.99,159.4,158.09,158.28,23760750,37.333,-0.86,113571893.8
2017-09-15,158.47,160.97,158.0,159.88,49114602,37.7104,1.01,117806700.2
2017-09-18,160.11,160.5,157.995,158.67,28269439,37.425,-0.76,117974974.0
2017-09-19,159.51,159.77,158.44,158.73,20810631,37.4392,0.04,116863394.4
2017-09-20,157.9,158.26,153.83,156.07,52951359,36.8118,-1.68,123132748.2
2017-09-21,155.8,155.8,152.75,153.39,37511660,36.1797,-1.72,126755264.2
2017-09-22,152.02,152.27,150.56,151.89,46645441,35.8259,-0.98,132120568.4
2017-09-25,149.99,151.83,149.16,150.55,44387340,35.5098,-0.88,135902024.2
2017-09-26,151.78,153.92,151.69,153.14,36660047,36.1207,1.72,138040839.4
2017-09-27,153.8,154.7189,153.54,154.23,25504230,36.3778,0.71,137238303.4
2017-09-28,153.89,154.28,152.7,153.28,22005461,36.1537,-0.62,136185479.6
2017-09-29,153.21,154.13,152.0,154.12,26299811,36.3518,0.55,136088421.8
2017-10-02,154.26,154.45,152.72,153.81,18698840,36.2787,-0.2,136509979.6
2017-10-03,154.01,155.09,153.91,154.48,16230290,36.4367,0.44,133848775.4
2017-10-04,153.63,153.86,152.46,153.48,20163750,36.2009,-0.65,133551179.4
2017-10-05,154.18,155.44,154.05,155.39,21283770,36.6514,1.24,133422233.4
2017-10-06,154.97,155.49,154.56,155.3,17407561,36.6302,-0.06,131181437.8
2017-10-09,155.81,156.73,155.485,155.84,16262920,36.7575,0.35,128117861.6
2017-10-10,156.055,158.0,155.1,155.9,15617010,36.7717,0.04,116898454.2
2017-10-11,155.97,156.98,155.75,156.55,16905641,36.925,0.42,111298110.6
2017-10-12,156.35,157.37,155.7299,156.0,16125050,36.7953,-0.35,109770970.6
2017-10-13,156.73,157.28,156.41,156.99,16394189,37.0288,0.63,103226888.0
2017-10-16,157.9,160.0,157.65,159.88,24121449,37.7104,1.84,102397290.0
